DLL injected!
CRopeKeyframe->m_TextureScale: cc4
CRopeKeyframe->m_nSegments: ca8
CRopeKeyframe->m_bConstrainBetweenEndpoints: d50
CRopeKeyframe->m_Subdiv: cb8
CRopeKeyframe->m_Width: cd0
CRopeKeyframe->m_flScrollSpeed: a0c
CRopeKeyframe->m_vecOrigin: 138
CRopeKeyframe->moveparent: 148
CRopeKeyframe->m_iParentAttachment: 2ec
CRopeKeyframe->m_iDefaultRopeMaterialModelIndex: a18
CRopeKeyframe->m_nMinCPULevel: 988
CRopeKeyframe->m_nMaxCPULevel: 989
CRopeKeyframe->m_nMinGPULevel: 98a
CRopeKeyframe->m_nMaxGPULevel: 98b
CRagdollManager->m_iCurrentMaxRagdollCount: 9d8
CPhysicsPropMultiplayer->m_iPhysicsMode: 29d4
CPhysicsPropMultiplayer->m_fMass: 29d8
CPhysicsPropMultiplayer->m_collisionMins: 29dc
CPhysicsPropMultiplayer->m_collisionMaxs: 29e8
CPhysBoxMultiplayer->m_iPhysicsMode: 9e4
CPhysBoxMultiplayer->m_fMass: 9e8
CDynamicProp->m_bUseHitboxesForRenderBox: 29b4
CDynamicProp->m_flGlowMaxDist: 29d4
CDynamicProp->m_bShouldGlow: 29d8
CDynamicProp->m_clrGlow: 29d9
CDynamicProp->m_nGlowStyle: 29e0
CProp_Hallucination->m_bEnabled: 29a9
CProp_Hallucination->m_fVisibleTime: 29ac
CProp_Hallucination->m_fRechargeTime: 29b0
CPostProcessController->m_flPostProcessParameters: 9d8
CPostProcessController->m_bMaster: a04
CPointWorldText->m_szText: a08
CPointWorldText->m_flTextSize: b0c
CPointWorldText->m_textColor: b10
CPointCommentaryNode->m_bActive: 2990
CPointCommentaryNode->m_flStartTime: 2994
CPointCommentaryNode->m_iszCommentaryFile: 2998
CPointCommentaryNode->m_iszCommentaryFileNoHDR: 2a9c
CPointCommentaryNode->m_iszSpeakers: 2ba0
CPointCommentaryNode->m_iNodeNumber: 2ca0
CPointCommentaryNode->m_iNodeNumberMax: 2ca4
CPointCommentaryNode->m_hViewPosition: 2cac
CPointCamera->m_FOV: 9d8
CPointCamera->m_Resolution: 9dc
CPointCamera->m_bFogEnable: 9e0
CPointCamera->m_FogColor: 9e1
CPointCamera->m_flFogStart: 9e8
CPointCamera->m_flFogEnd: 9ec
CPointCamera->m_flFogMaxDensity: 9f0
CPointCamera->m_bActive: 9f4
CPointCamera->m_bUseScreenAspectRatio: 9f5
CPlayerResource->m_iPing: b28
CPlayerResource->m_iKills: c2c
CPlayerResource->m_iAssists: d30
CPlayerResource->m_iDeaths: e34
CPlayerResource->m_bConnected: ae4
CPlayerResource->m_iTeam: f38
CPlayerResource->m_iPendingTeam: 103c
CPlayerResource->m_bAlive: 1140
CPlayerResource->m_iHealth: 1184
CPlayerResource->m_iCoachingTeam: 1288
CPlasma->m_flStartScale: 9d8
CPlasma->m_flScale: 9dc
CPlasma->m_flScaleTime: 9e0
CPlasma->m_nFlags: 9e4
CPlasma->m_nPlasmaModelIndex: 9e8
CPlasma->m_nPlasmaModelIndex2: 9ec
CPlasma->m_nGlowModelIndex: 9f0
CPhysicsProp->m_bAwake: 29b0
CPhysicsProp->m_spawnflags: 2c8
CStatueProp->m_hInitBaseAnimating: 29d0
CStatueProp->m_bShatter: 29d4
CStatueProp->m_nShatterFlags: 29d8
CStatueProp->m_vShatterPosition: 29dc
CStatueProp->m_vShatterForce: 29e8
CPhysBox->m_mass: 9d8
CParticleSystem->m_vecOrigin: 138
CParticleSystem->m_fEffects: f0
CParticleSystem->m_hOwnerEntity: 14c
CParticleSystem->moveparent: 148
CParticleSystem->m_iParentAttachment: 2ec
CParticleSystem->m_angRotation: 12c
CParticleSystem->m_iEffectIndex: 9d8
CParticleSystem->m_bActive: 9e0
CParticleSystem->m_nStopType: 9dc
CParticleSystem->m_flStartTime: 9e4
CParticleSystem->m_szSnapshotFileName: 9e8
CParticleSystem->m_vServerControlPoints: aec
CParticleSystem->m_iServerControlPointAssignments: b1c
CParticleSystem->m_hControlPointEnts: b30
CParticleSystem->m_iControlPointParents: c2c
CMovieDisplay->m_bEnabled: 9d8
CMovieDisplay->m_bLooping: 9d9
CMovieDisplay->m_szMovieFilename: 9da
CMovieDisplay->m_szGroupName: a5a
CMovieDisplay->m_bStretchToFill: ada
CMovieDisplay->m_bForcedSlave: adb
CMovieDisplay->m_bUseCustomUVs: adc
CMovieDisplay->m_flUMin: ae0
CMovieDisplay->m_flUMax: ae4
CMovieDisplay->m_flVMin: ae8
CMovieDisplay->m_flVMax: aec
CMaterialModifyControl->m_szMaterialName: 9d8
CMaterialModifyControl->m_szMaterialVar: ad7
CMaterialModifyControl->m_szMaterialVarValue: bd6
CMaterialModifyControl->m_iFrameStart: ce0
CMaterialModifyControl->m_iFrameEnd: ce4
CMaterialModifyControl->m_bWrap: ce8
CMaterialModifyControl->m_flFramerate: cec
CMaterialModifyControl->m_bNewAnimCommandsSemaphore: cf0
CMaterialModifyControl->m_flFloatLerpStartValue: cf4
CMaterialModifyControl->m_flFloatLerpEndValue: cf8
CMaterialModifyControl->m_flFloatLerpTransitionTime: cfc
CMaterialModifyControl->m_bFloatLerpWrap: d00
CMaterialModifyControl->m_nModifyMode: d08
CLightGlow->m_clrRender: 70
CLightGlow->m_nHorizontalSize: 9d8
CLightGlow->m_nVerticalSize: 9dc
CLightGlow->m_nMinDist: 9e0
CLightGlow->m_nMaxDist: 9e4
CLightGlow->m_nOuterMaxDist: 9e8
CLightGlow->m_spawnflags: 9ec
CLightGlow->m_vecOrigin: 138
CLightGlow->m_angRotation: 12c
CLightGlow->moveparent: 148
CLightGlow->m_flGlowProxySize: ac4
CLightGlow->HDRColorScale: 0
CItemAssaultSuitUseable->m_nArmorValue: 3450
CItemAssaultSuitUseable->m_bIsHeavyAssaultSuit: 3454
CItem->m_bShouldGlow: 3240
CInfoOverlayAccessor->m_iTextureFrameIndex: 98c
CInfoOverlayAccessor->m_iOverlayID: 9d8
CFuncSmokeVolume->m_Color1: ac4
CFuncSmokeVolume->m_Color2: ac8
CFuncSmokeVolume->m_MaterialName: acc
CFuncSmokeVolume->m_ParticleDrawWidth: bcc
CFuncSmokeVolume->m_ParticleSpacingDistance: bd0
CFuncSmokeVolume->m_DensityRampSpeed: bd4
CFuncSmokeVolume->m_RotationSpeed: bd8
CFuncSmokeVolume->m_MovementSpeed: bdc
CFuncSmokeVolume->m_Density: be0
CFuncSmokeVolume->m_maxDrawDistance: be4
CFuncSmokeVolume->m_spawnflags: be8
CFuncSmokeVolume->m_vecMins: 328
CFuncSmokeVolume->m_vecMaxs: 334
CFuncSmokeVolume->m_nSolidType: 342
CFuncSmokeVolume->m_usSolidFlags: 340
CFuncSmokeVolume->m_nSurroundType: 34a
CFuncSmokeVolume->m_triggerBloat: 343
CFuncSmokeVolume->m_vecSpecifiedSurroundingMins: 34c
CFuncSmokeVolume->m_vecSpecifiedSurroundingMaxs: 358
CFuncSmokeVolume->m_Collision: 320
CFuncRotating->m_vecOrigin: 138
CFuncRotating->m_angRotation[0]: 12c
CFuncRotating->m_angRotation[1]: 130
CFuncRotating->m_angRotation[2]: 134
CFuncRotating->m_flSimulationTime: 268
CFuncOccluder->m_bActive: 9dc
CFuncOccluder->m_nOccluderIndex: 9d8
CFuncMoveLinear->m_vecVelocity: 114
CFuncMoveLinear->m_fFlags: 104
CFunc_LOD->m_nDisappearMinDist: 9d8
CFunc_LOD->m_nDisappearMaxDist: 9dc
CTEDust->m_flSize: 1c
CTEDust->m_flSpeed: 20
CTEDust->m_vecDirection: 24
CFunc_Dust->m_Color: 9d8
CFunc_Dust->m_SpawnRate: 9dc
CFunc_Dust->m_flSizeMin: 9e0
CFunc_Dust->m_flSizeMax: 9e4
CFunc_Dust->m_LifetimeMin: 9ec
CFunc_Dust->m_LifetimeMax: 9f0
CFunc_Dust->m_DustFlags: a00
CFunc_Dust->m_SpeedMax: 9e8
CFunc_Dust->m_DistMax: 9f4
CFunc_Dust->m_nModelIndex: 258
CFunc_Dust->m_FallSpeed: 9f8
CFunc_Dust->m_bAffectedByWind: 9fc
CFunc_Dust->m_vecMins: 328
CFunc_Dust->m_vecMaxs: 334
CFunc_Dust->m_nSolidType: 342
CFunc_Dust->m_usSolidFlags: 340
CFunc_Dust->m_nSurroundType: 34a
CFunc_Dust->m_triggerBloat: 343
CFunc_Dust->m_vecSpecifiedSurroundingMins: 34c
CFunc_Dust->m_vecSpecifiedSurroundingMaxs: 358
CFunc_Dust->m_Collision: 320
CFuncConveyor->m_flConveyorSpeed: 9d8
CBreakableSurface->m_nNumWide: 9dc
CBreakableSurface->m_nNumHigh: 9e0
CBreakableSurface->m_flPanelWidth: 9e4
CBreakableSurface->m_flPanelHeight: 9e8
CBreakableSurface->m_vNormal: 9ec
CBreakableSurface->m_vCorner: 9f8
CBreakableSurface->m_bIsBroken: a04
CBreakableSurface->m_nSurfaceType: a08
CBreakableSurface->m_RawPanelBitVec: a2c
CFuncAreaPortalWindow->m_flFadeStartDist: 9d8
CFuncAreaPortalWindow->m_flFadeDist: 9dc
CFuncAreaPortalWindow->m_flTranslucencyLimit: 9e0
CFuncAreaPortalWindow->m_iBackgroundModelIndex: 9e4
CFish->m_poolOrigin: 29f0
CFish->m_x: 29d8
CFish->m_y: 29dc
CFish->m_z: 29e0
CFish->m_angle: 29e8
CFish->m_nModelIndex: 258
CFish->m_lifeState: 25f
CFish->m_waterLevel: 29fc
CFireSmoke->m_flStartScale: 9d8
CFireSmoke->m_flScale: 9dc
CFireSmoke->m_flScaleTime: 9e0
CFireSmoke->m_nFlags: 9e4
CFireSmoke->m_nFlameModelIndex: 9e8
CFireSmoke->m_nFlameFromAboveModelIndex: 9ec
CEnvTonemapController->m_bUseCustomAutoExposureMin: 9d8
CEnvTonemapController->m_bUseCustomAutoExposureMax: 9d9
CEnvTonemapController->m_bUseCustomBloomScale: 9da
CEnvTonemapController->m_flCustomAutoExposureMin: 9dc
CEnvTonemapController->m_flCustomAutoExposureMax: 9e0
CEnvTonemapController->m_flCustomBloomScale: 9e4
CEnvTonemapController->m_flCustomBloomScaleMinimum: 9e8
CEnvTonemapController->m_flBloomExponent: 9ec
CEnvTonemapController->m_flBloomSaturation: 9f0
CEnvTonemapController->m_flTonemapPercentTarget: 9f4
CEnvTonemapController->m_flTonemapPercentBrightPixels: 9f8
CEnvTonemapController->m_flTonemapMinAvgLum: 9fc
CEnvTonemapController->m_flTonemapRate: a00
CEnvScreenEffect->m_flDuration: 9d8
CEnvScreenEffect->m_nType: 9dc
CEnvScreenOverlay->m_iszOverlayNames[0]: 9d8
CEnvScreenOverlay->m_iszOverlayNames: 0
CEnvScreenOverlay->m_flOverlayTimes[0]: 13d0
CEnvScreenOverlay->m_flOverlayTimes: 0
CEnvScreenOverlay->m_flStartTime: 13f8
CEnvScreenOverlay->m_iDesiredOverlay: 13fc
CEnvScreenOverlay->m_bIsActive: 1400
CEnvProjectedTexture->m_hTargetEntity: 9dc
CEnvProjectedTexture->m_bState: 9e0
CEnvProjectedTexture->m_bAlwaysUpdate: 9e1
CEnvProjectedTexture->m_flLightFOV: 9e4
CEnvProjectedTexture->m_bEnableShadows: 9e8
CEnvProjectedTexture->m_bSimpleProjection: 9e9
CEnvProjectedTexture->m_bLightOnlyTarget: 9ea
CEnvProjectedTexture->m_bLightWorld: 9eb
CEnvProjectedTexture->m_bCameraSpace: 9ec
CEnvProjectedTexture->m_flBrightnessScale: 9f0
CEnvProjectedTexture->m_LightColor: 9f4
CEnvProjectedTexture->m_flColorTransitionTime: a08
CEnvProjectedTexture->m_flAmbient: a0c
CEnvProjectedTexture->m_SpotlightTextureName: a18
CEnvProjectedTexture->m_nSpotlightTextureFrame: b24
CEnvProjectedTexture->m_flNearZ: a10
CEnvProjectedTexture->m_flFarZ: a14
CEnvProjectedTexture->m_nShadowQuality: b28
CEnvProjectedTexture->m_flProjectionSize: b38
CEnvProjectedTexture->m_flRotation: b3c
CEnvProjectedTexture->m_iStyle: b2c
CEnvParticleScript->m_flSequenceScale: 2a74
CFogController->m_fog.enable: a1c
CFogController->m_fog.blend: a1d
CFogController->m_fog.dirPrimary: 9dc
CFogController->m_fog.colorPrimary: 9e8
CFogController->m_fog.colorSecondary: 9ec
CFogController->m_fog.start: 9f8
CFogController->m_fog.end: 9fc
CFogController->m_fog.farz: a00
CFogController->m_fog.maxdensity: a04
CFogController->m_fog.colorPrimaryLerpTo: 9f0
CFogController->m_fog.colorSecondaryLerpTo: 9f4
CFogController->m_fog.startLerpTo: a08
CFogController->m_fog.endLerpTo: a0c
CFogController->m_fog.maxdensityLerpTo: a10
CFogController->m_fog.lerptime: a14
CFogController->m_fog.duration: a18
CFogController->m_fog.HDRColorScale: a24
CFogController->m_fog.ZoomFogScale: a20
CEnvDOFController->m_bDOFEnabled: 9d8
CEnvDOFController->m_flNearBlurDepth: 9dc
CEnvDOFController->m_flNearFocusDepth: 9e0
CEnvDOFController->m_flFarFocusDepth: 9e4
CEnvDOFController->m_flFarBlurDepth: 9e8
CEnvDOFController->m_flNearBlurRadius: 9ec
CEnvDOFController->m_flFarBlurRadius: 9f0
CCascadeLight->m_shadowDirection: 9d8
CCascadeLight->m_envLightShadowDirection: 9e4
CCascadeLight->m_bEnabled: 9f0
CCascadeLight->m_bUseLightEnvAngles: 9f1
CCascadeLight->m_LightColor: 9f2
CCascadeLight->m_LightColorScale: 9f8
CCascadeLight->m_flMaxShadowDist: 9fc
CEnvAmbientLight->m_vecColor: b00
CEntityParticleTrail->m_iMaterialName: ac0
CEntityParticleTrail->m_flLifetime: acc
CEntityParticleTrail->m_flStartSize: ad0
CEntityParticleTrail->m_flEndSize: ad4
CEntityParticleTrail->m_Info: ac4
CEntityParticleTrail->m_hConstraintEntity: ad8
CEntityFreezing->m_vFreezingOrigin: 9d8
CEntityFreezing->m_flFrozenPerHitbox: 9e4
CEntityFreezing->m_flFrozen: aac
CEntityFreezing->m_bFinishFreezing: ab0
CEntityFlame->m_hEntAttached: 9d8
CEntityFlame->m_bCheapEffect: 9ec
CEntityDissolve->m_flStartTime: 9dc
CEntityDissolve->m_flFadeOutStart: 9e0
CEntityDissolve->m_flFadeOutLength: 9e4
CEntityDissolve->m_flFadeOutModelStart: 9e8
CEntityDissolve->m_flFadeOutModelLength: 9ec
CEntityDissolve->m_flFadeInStart: 9f0
CEntityDissolve->m_flFadeInLength: 9f4
CEntityDissolve->m_nDissolveType: 9f8
CEntityDissolve->m_vDissolverOrigin: a00
CEntityDissolve->m_nMagnitude: a0c
CDynamicLight->m_Flags: 9d8
CDynamicLight->m_LightStyle: 9d9
CDynamicLight->m_Radius: 9dc
CDynamicLight->m_Exponent: 9e0
CDynamicLight->m_InnerAngle: 9e4
CDynamicLight->m_OuterAngle: 9e8
CDynamicLight->m_SpotRadius: 9ec
CColorCorrectionVolume->m_bEnabled: a20
CColorCorrectionVolume->m_MaxWeight: a24
CColorCorrectionVolume->m_FadeDuration: a28
CColorCorrectionVolume->m_Weight: a2c
CColorCorrectionVolume->m_lookupFilename: a30
CColorCorrection->m_vecOrigin: 9d8
CColorCorrection->m_minFalloff: 9e4
CColorCorrection->m_maxFalloff: 9e8
CColorCorrection->m_flCurWeight: 9f8
CColorCorrection->m_flMaxWeight: 9f4
CColorCorrection->m_flFadeInDuration: 9ec
CColorCorrection->m_flFadeOutDuration: 9f0
CColorCorrection->m_netLookupFilename: 9fc
CColorCorrection->m_bEnabled: b00
CColorCorrection->m_bMaster: b01
CColorCorrection->m_bClientSide: b02
CColorCorrection->m_bExclusive: b03
CBreakableProp->m_qPreferredPlayerCarryAngles: 2994
CBreakableProp->m_bClientPhysics: 29a0
CBeamSpotlight->m_nHaloIndex: 9d8
CBeamSpotlight->m_bSpotlightOn: 9e4
CBeamSpotlight->m_bHasDynamicLight: 9e5
CBeamSpotlight->m_flSpotlightMaxLength: 9e8
CBeamSpotlight->m_flSpotlightGoalWidth: 9ec
CBeamSpotlight->m_flHDRColorScale: 9f0
CBeamSpotlight->m_nRotationAxis: 9dc
CBeamSpotlight->m_flRotationSpeed: 9e0
CBaseButton->m_usable: a08
CBaseToggle->m_vecFinalDest: 9ec
CBaseToggle->m_movementType: 9f8
CBaseToggle->m_flMoveTargetTime: 9fc
CBasePlayer->m_chAreaBits: 2fd0
CBasePlayer->m_chAreaPortalBits: 2ff0
CBasePlayer->m_iHideHUD: 3014
CBasePlayer->m_flFOVRate: 3010
CBasePlayer->m_bDucked: 3054
CBasePlayer->m_bDucking: 3055
CBasePlayer->m_flLastDuckTime: 3058
CBasePlayer->m_bInDuckJump: 305c
CBasePlayer->m_nDuckTimeMsecs: 3018
CBasePlayer->m_nDuckJumpTimeMsecs: 301c
CBasePlayer->m_nJumpTimeMsecs: 3020
CBasePlayer->m_flFallVelocity: 3024
CBasePlayer->m_nOldButtons: 300c
CBasePlayer->m_viewPunchAngle: 3030
CBasePlayer->m_aimPunchAngle: 303c
CBasePlayer->m_aimPunchAngleVel: 3048
CBasePlayer->m_bDrawViewmodel: 305d
CBasePlayer->m_bWearingSuit: 305e
CBasePlayer->m_bPoisoned: 305f
CBasePlayer->m_flStepSize: 302c
CBasePlayer->m_bAllowAutoMovement: 3060
CBasePlayer->m_skybox3d.scale: 3100
CBasePlayer->m_skybox3d.origin: 3104
CBasePlayer->m_skybox3d.area: 3110
CBasePlayer->m_skybox3d.fog.enable: 3158
CBasePlayer->m_skybox3d.fog.blend: 3159
CBasePlayer->m_skybox3d.fog.dirPrimary: 3118
CBasePlayer->m_skybox3d.fog.colorPrimary: 3124
CBasePlayer->m_skybox3d.fog.colorSecondary: 3128
CBasePlayer->m_skybox3d.fog.start: 3134
CBasePlayer->m_skybox3d.fog.end: 3138
CBasePlayer->m_skybox3d.fog.maxdensity: 3140
CBasePlayer->m_skybox3d.fog.HDRColorScale: 3160
CBasePlayer->m_audio.localSound[0]: 3168
CBasePlayer->m_audio.localSound[1]: 3174
CBasePlayer->m_audio.localSound[2]: 3180
CBasePlayer->m_audio.localSound[3]: 318c
CBasePlayer->m_audio.localSound[4]: 3198
CBasePlayer->m_audio.localSound[5]: 31a4
CBasePlayer->m_audio.localSound[6]: 31b0
CBasePlayer->m_audio.localSound[7]: 31bc
CBasePlayer->m_audio.soundscapeIndex: 31c8
CBasePlayer->m_audio.localBits: 31cc
CBasePlayer->m_audio.entIndex: 31d0
CBasePlayer->m_Local: 2fcc
CBasePlayer->m_vecViewOffset[0]: 108
CBasePlayer->m_vecViewOffset[1]: 10c
CBasePlayer->m_vecViewOffset[2]: 110
CBasePlayer->m_flFriction: 144
CBasePlayer->m_fOnTarget: 3334
CBasePlayer->m_nTickBase: 3440
CBasePlayer->m_nNextThinkTick: fc
CBasePlayer->m_hLastWeapon: 3304
CBasePlayer->m_vecVelocity[0]: 114
CBasePlayer->m_vecVelocity[1]: 118
CBasePlayer->m_vecVelocity[2]: 11c
CBasePlayer->m_vecBaseVelocity: 120
CBasePlayer->m_hConstraintEntity: 3354
CBasePlayer->m_vecConstraintCenter: 3358
CBasePlayer->m_flConstraintRadius: 3364
CBasePlayer->m_flConstraintWidth: 3368
CBasePlayer->m_flConstraintSpeedFactor: 336c
CBasePlayer->m_bConstraintPastRadius: 3370
CBasePlayer->m_flDeathTime: 33d4
CBasePlayer->m_flNextDecalTime: 33d8
CBasePlayer->m_fForceTeam: 33dc
CBasePlayer->m_flLaggedMovementValue: 35a4
CBasePlayer->m_hTonemapController: 31dc
CBasePlayer->localdata: 0
CBasePlayer->deadflag: 31e4
CBasePlayer->pl: 31e0
CBasePlayer->m_iFOV: 31f4
CBasePlayer->m_iFOVStart: 31f8
CBasePlayer->m_flFOVTime: 3218
CBasePlayer->m_iDefaultFOV: 333c
CBasePlayer->m_hZoomOwner: 325c
CBasePlayer->m_afPhysicsFlags: 32fc
CBasePlayer->m_hVehicle: 3300
CBasePlayer->m_hUseEntity: 3338
CBasePlayer->m_hGroundEntity: 150
CBasePlayer->m_iHealth: 100
CBasePlayer->m_lifeState: 25f
CBasePlayer->m_iAmmo: 2d88
CBasePlayer->m_iBonusProgress: 3250
CBasePlayer->m_iBonusChallenge: 3254
CBasePlayer->m_flMaxspeed: 3258
CBasePlayer->m_fFlags: 104
CBasePlayer->m_iObserverMode: 3388
CBasePlayer->m_bActiveCameraMan: 338c
CBasePlayer->m_bCameraManXRay: 338d
CBasePlayer->m_bCameraManOverview: 338e
CBasePlayer->m_bCameraManScoreBoard: 338f
CBasePlayer->m_uCameraManGraphs: 3390
CBasePlayer->m_iDeathPostEffect: 3384
CBasePlayer->m_hObserverTarget: 339c
CBasePlayer->m_hViewModel[0]: 3308
CBasePlayer->m_hViewModel: 0
CBasePlayer->m_iCoachingTeam: 2f60
CBasePlayer->m_szLastPlaceName: 35c4
CBasePlayer->m_vecLadderNormal: 3240
CBasePlayer->m_ladderSurfaceProps: 3210
CBasePlayer->m_ubEFNoInterpParity: 35e8
CBasePlayer->m_hPostProcessCtrl: 37b8
CBasePlayer->m_hColorCorrectionCtrl: 37bc
CBasePlayer->m_PlayerFog.m_hCtrl: 37c4
CBasePlayer->m_vphysicsCollisionState: 326c
CBasePlayer->m_hViewEntity: 334c
CBasePlayer->m_bShouldDrawPlayerWhileUsingViewEntity: 3350
CBasePlayer->m_flDuckAmount: 2fbc
CBasePlayer->m_flDuckSpeed: 2fc0
CBasePlayer->m_nWaterLevel: 25e
CBaseFlex->m_flexWeight: 2a38
CBaseFlex->m_blinktoggle: 2be4
CBaseFlex->m_viewtarget: 2a00
CBaseEntity->m_flAnimTime: 260
CBaseEntity->AnimTimeMustBeFirst: 0
CBaseEntity->m_flSimulationTime: 268
CBaseEntity->m_cellbits: 74
CBaseEntity->m_cellX: 7c
CBaseEntity->m_cellY: 80
CBaseEntity->m_cellZ: 84
CBaseEntity->m_vecOrigin: 138
CBaseEntity->m_angRotation: 12c
CBaseEntity->m_nModelIndex: 258
CBaseEntity->m_fEffects: f0
CBaseEntity->m_nRenderMode: 25b
CBaseEntity->m_nRenderFX: 25a
CBaseEntity->m_clrRender: 70
CBaseEntity->m_iTeamNum: f4
CBaseEntity->m_iPendingTeamNum: f8
CBaseEntity->m_CollisionGroup: 474
CBaseEntity->m_flElasticity: 300
CBaseEntity->m_flShadowCastDistance: 3a0
CBaseEntity->m_hOwnerEntity: 14c
CBaseEntity->m_hEffectEntity: 998
CBaseEntity->moveparent: 148
CBaseEntity->m_iParentAttachment: 2ec
CBaseEntity->m_iName: 154
CBaseEntity->movetype: 0
CBaseEntity->movecollide: 0
CBaseEntity->m_vecMins: 328
CBaseEntity->m_vecMaxs: 334
CBaseEntity->m_nSolidType: 342
CBaseEntity->m_usSolidFlags: 340
CBaseEntity->m_nSurroundType: 34a
CBaseEntity->m_triggerBloat: 343
CBaseEntity->m_vecSpecifiedSurroundingMins: 34c
CBaseEntity->m_vecSpecifiedSurroundingMaxs: 358
CBaseEntity->m_Collision: 320
CBaseEntity->m_iTextureFrameIndex: 98c
CBaseEntity->m_bSimulatedEveryTick: 93a
CBaseEntity->m_bAnimatedEveryTick: 93b
CBaseEntity->m_bAlternateSorting: 93c
CBaseEntity->m_bSpotted: 93d
CBaseEntity->m_bSpottedBy: 93e
CBaseEntity->m_bSpottedByMask: 980
CBaseEntity->m_bIsAutoaimTarget: 60
CBaseEntity->m_fadeMinDist: 2f4
CBaseEntity->m_fadeMaxDist: 2f8
CBaseEntity->m_flFadeScale: 2fc
CBaseEntity->m_nMinCPULevel: 988
CBaseEntity->m_nMaxCPULevel: 989
CBaseEntity->m_nMinGPULevel: 98a
CBaseEntity->m_nMaxGPULevel: 98b
CBaseEntity->m_flUseLookAtAngle: 2cc
CBaseEntity->m_flLastMadeNoiseTime: 20
CBaseEntity->m_flMaxFallVelocity: dc
CBaseEntity->m_bEligibleForScreenHighlight: 9b9
CBaseDoor->m_flWaveHeight: a08
CBaseCombatCharacter->m_flNextAttack: 2d80
CBaseCombatCharacter->bcc_localdata: 0
CBaseCombatCharacter->m_hMyWeapons: 2e08
CBaseCombatCharacter->bcc_nonlocaldata: 0
CBaseCombatCharacter->m_LastHitGroup: 2d84
CBaseCombatCharacter->m_hActiveWeapon: 2f08
CBaseCombatCharacter->m_flTimeOfLastInjury: 2f0c
CBaseCombatCharacter->m_nRelativeDirectionOfLastInjury: 2f10
CBaseCombatCharacter->m_hMyWeapons: 2e08
CBaseCombatCharacter->m_hMyWearables: 2f14
CBaseAnimatingOverlay->m_AnimOverlay: 0
CBaseAnimatingOverlay->overlay_vars: 0
CBoneFollower->m_modelIndex: 9d8
CBoneFollower->m_solidIndex: 9dc
CBaseAnimating->m_nSequence: 28c0
CBaseAnimating->m_nForceBone: 268c
CBaseAnimating->m_vecForce: 2680
CBaseAnimating->m_nSkin: a1c
CBaseAnimating->m_nBody: a20
CBaseAnimating->m_nHitboxSet: 9fc
CBaseAnimating->m_flModelScale: 274c
CBaseAnimating->m_flPoseParameter: 2778
CBaseAnimating->m_flPlaybackRate: a18
CBaseAnimating->m_flEncodedController: a54
CBaseAnimating->m_bClientSideAnimation: 28a0
CBaseAnimating->m_bClientSideFrameReset: 26c4
CBaseAnimating->m_bClientSideRagdoll: 279
CBaseAnimating->m_nNewSequenceParity: a44
CBaseAnimating->m_nResetEventsParity: a48
CBaseAnimating->m_nMuzzleFlashParity: a64
CBaseAnimating->m_hLightingOrigin: 2948
CBaseAnimating->m_flCycle: a14
CBaseAnimating->serveranimdata: 0
CBaseAnimating->m_flFrozen: 26fc
CBaseAnimating->m_ScaleType: 2750
CBaseAnimating->m_bSuppressAnimSounds: 294e
CBaseAnimating->m_nHighlightColorR: a38
CBaseAnimating->m_nHighlightColorG: a3c
CBaseAnimating->m_nHighlightColorB: a40
CAI_BaseNPC->m_lifeState: 25f
CAI_BaseNPC->m_bPerformAvoidance: 2f34
CAI_BaseNPC->m_bIsMoving: 2f35
CAI_BaseNPC->m_bFadeCorpse: 2f36
CAI_BaseNPC->m_iDeathPose: 2f24
CAI_BaseNPC->m_iDeathFrame: 2f28
CAI_BaseNPC->m_iSpeedModRadius: 2f2c
CAI_BaseNPC->m_iSpeedModSpeed: 2f30
CAI_BaseNPC->m_bSpeedModActive: 2f37
CAI_BaseNPC->m_bImportanRagdoll: 2f38
CAI_BaseNPC->m_flTimePingEffect: 2f20
CBeam->m_nBeamType: 9f4
CBeam->m_nBeamFlags: 9f8
CBeam->m_nNumBeamEnts: 9e8
CBeam->m_hAttachEntity: 9fc
CBeam->m_nAttachIndex: a24
CBeam->m_nHaloIndex: 9f0
CBeam->m_fHaloScale: a58
CBeam->m_fWidth: a4c
CBeam->m_fEndWidth: a50
CBeam->m_fFadeLength: a54
CBeam->m_fAmplitude: a5c
CBeam->m_fStartFrame: a60
CBeam->m_fSpeed: a64
CBeam->m_flFrameRate: 9d8
CBeam->m_flHDRColorScale: 9dc
CBeam->m_clrRender: 70
CBeam->m_nRenderFX: 25a
CBeam->m_nRenderMode: 25b
CBeam->m_flFrame: a68
CBeam->m_nClipStyle: a6c
CBeam->m_vecEndPos: a70
CBeam->m_nModelIndex: 258
CBeam->m_vecOrigin: 138
CBeam->moveparent: 148
CBaseViewModel->m_nModelIndex: 258
CBaseViewModel->m_hWeapon: 29d8
CBaseViewModel->m_nSkin: a1c
CBaseViewModel->m_nBody: a20
CBaseViewModel->m_nSequence: 28c0
CBaseViewModel->m_nViewModelIndex: 29d0
CBaseViewModel->m_flPlaybackRate: a18
CBaseViewModel->m_fEffects: f0
CBaseViewModel->m_nAnimationParity: 29d4
CBaseViewModel->m_hOwner: 29dc
CBaseViewModel->m_nNewSequenceParity: a44
CBaseViewModel->m_nResetEventsParity: a48
CBaseViewModel->m_nMuzzleFlashParity: a64
